id, prediction
0,positive
1,negative
2,negative
3,negative
4,negative
5,positive
6,negative
7,negative
8,negative
9,negative
10,negative
11,positive
12,positive
13,positive
14,positive
15,positive
16,positive
17,positive
18,negative
19,positive
20,positive
21,positive
22,positive
23,positive
24,positive
25,negative
26,negative
27,negative
28,negative
29,negative
30,negative
31,positive
32,negative
33,negative
34,positive
35,negative
36,negative
37,negative
38,positive
39,positive
40,negative
41,negative
42,negative
43,positive
44,negative
45,negative
46,negative
47,positive
48,negative
49,negative
50,positive
51,positive
52,negative
53,positive
54,negative
55,negative
56,negative
57,negative
58,positive
59,positive
60,positive
61,negative
62,negative
63,negative
64,negative
65,positive
66,negative
67,positive
68,positive
69,negative
70,positive
71,positive
72,positive
73,positive
74,positive
75,positive
76,positive
77,positive
78,negative
79,negative
80,positive
81,positive
82,negative
83,positive
84,positive
85,negative
86,positive
87,negative
88,positive
89,positive
90,positive
91,negative
92,negative
93,negative
94,positive
95,positive
96,positive
97,negative
98,positive
99,positive
100,positive
101,negative
102,negative
103,positive
104,negative
105,positive
106,positive
107,negative
108,positive
109,positive
110,positive
111,positive
112,positive
113,negative
114,positive
115,positive
116,positive
117,positive
118,positive
119,positive
120,positive
121,negative
122,positive
123,negative
124,positive
125,positive
126,positive
127,negative
128,negative
129,positive
130,positive
131,negative
132,positive
133,positive
134,negative
135,negative
136,positive
137,negative
138,negative
139,positive
140,positive
141,positive
142,positive
143,positive
144,positive
145,positive
146,negative
147,positive
148,negative
149,negative
150,positive
151,negative
152,positive
153,negative
154,positive
155,negative
156,negative
157,positive
158,negative
159,negative
160,negative
161,negative
162,negative
163,negative
164,positive
165,positive
166,negative
167,positive
168,negative
169,negative
170,positive
171,positive
172,negative
173,positive
174,negative
175,positive
176,negative
177,positive
178,negative
179,positive
180,negative
181,positive
182,negative
183,positive
184,negative
185,positive
186,positive
187,positive
188,positive
189,negative
190,negative
191,positive
192,negative
193,positive
194,positive
195,positive
196,positive
197,negative
198,negative
199,positive
200,negative
201,positive
202,positive
203,negative
204,positive
205,positive
206,positive
207,positive
208,positive
209,negative
210,positive
211,negative
212,negative
213,positive
214,positive
215,negative
216,negative
217,positive
218,negative
219,positive
220,positive
221,negative
222,positive
223,positive
224,positive
225,negative
226,negative
227,negative
228,negative
229,positive
230,positive
231,negative
232,positive
233,negative
234,negative
235,negative
236,negative
237,negative
238,positive
239,positive
240,positive
241,positive
242,positive
243,positive
244,positive
245,positive
246,positive
247,positive
248,positive
249,positive
250,positive
251,positive
252,negative
253,positive
254,positive
255,positive
256,positive
257,negative
258,negative
259,positive
260,negative
261,positive
262,negative
263,negative
264,positive
265,negative
266,negative
267,negative
268,positive
269,negative
270,positive
271,positive
272,negative
273,positive
274,negative
275,positive
276,negative
277,positive
278,negative
279,positive
280,positive
281,positive
282,positive
283,positive
284,negative
285,negative
286,positive
287,positive
288,positive
289,positive
290,positive
291,negative
292,positive
293,positive
294,negative
295,positive
296,positive
297,positive
298,positive
299,positive
300,positive
301,positive
302,negative
303,positive
304,positive
305,positive
306,positive
307,positive
308,negative
309,positive
310,negative
311,negative
312,negative
313,positive
314,positive
315,negative
316,negative
317,positive
318,negative
319,negative
320,positive
321,negative
322,negative
323,positive
324,negative
325,negative
326,positive
327,negative
328,negative
329,positive
330,positive
331,positive
332,negative
333,negative
334,negative
335,negative
336,negative
337,positive
338,positive
339,negative
340,negative
341,positive
342,negative
343,negative
344,negative
345,positive
346,negative
347,positive
348,negative
349,negative
350,negative
351,positive
352,negative
353,positive
354,negative
355,positive
356,positive
357,negative
358,negative
359,negative
360,negative
361,negative
362,positive
363,positive
364,negative
365,positive
366,negative
367,negative
368,positive
369,negative
370,negative
371,positive
372,positive
373,positive
374,positive
375,positive
376,negative
377,negative
378,negative
379,negative
380,positive
381,negative
382,negative
383,negative
384,positive
385,negative
386,negative
387,negative
388,negative
389,negative
390,negative
391,positive
392,positive
393,negative
394,negative
395,negative
396,negative
397,negative
398,negative
399,negative
400,negative
401,positive
402,positive
403,positive
404,negative
405,positive
406,negative
407,negative
408,positive
409,negative
410,negative
411,positive
412,positive
413,positive
414,positive
415,negative
416,negative
417,positive
418,positive
419,negative
420,negative
421,positive
422,positive
423,positive
424,positive
425,positive
